deal_id,announcement_date,acquirer_name,acquirer_cik,acquirer_sic,target_name,target_cik,target_sic,sector,disclosed_synergy_usd,synergy_type,acquirer_sga,acquirer_cogs,target_sga,target_cogs,combined_sga,combined_cogs,acquirer_revenue,target_revenue,combined_revenue,acquirer_fy,target_fy,source_quote,source_url
0001193125-16-745320,2016-10-24,"American Midstream Partners, LP",1513965,4922,JP Energy Partners LP,1523404,5171,wholesale,10000000.0,unspecified,27232000.0,59549000.0,45383000.0,527476000.0,72615000.0,587025000.0,236358000.0,680585000.0,916943000.0,2015,2015,$10 million of run-rate synergies,https://www.sec.gov/Archives/edgar/data/1513965/000119312516745320/d273466dex991.htm
0001104659-16-151525,2016-10-24,ROCKWELL COLLINS INC,1137411,3728,B/E AEROSPACE INC,861361,3728,transport_equipment,160000000.0,unspecified,606000000.0,566000000.0,360400000.0,1642500000.0,966400000.0,2208500000.0,5244000000.0,2729600000.0,7973600000.0,2015,2015,synergies of approximately $160 million,https://www.sec.gov/Archives/edgar/data/861361/000110465916151525/a16-20327_1ex99d1.htm
0000950103-16-017482,2016-10-31,GENERAL ELECTRIC CO,40545,3600,BAKER HUGHES INC,808362,3533,industrial_machinery,1200000000.0,cost,17831000000.0,22788000000.0,1173000000.0,9639000000.0,19004000000.0,32427000000.0,117386000000.0,15742000000.0,133128000000.0,2015,2015,$1.2 billion in cost synergies,https://www.sec.gov/Archives/edgar/data/808362/000095010316017482/dp69890_425.htm
0001193125-16-759086,2016-11-03,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,1062231,3714,Metaldyne Performance Group Inc.,1616817,3714,transport_equipment,120000000.0,unspecified,277300000.0,3267700000.0,249696000.0,2531245000.0,526996000.0,5798945000.0,,3047255000.0,,2015,2015,$120 million in cost reduction synergies,https://www.sec.gov/Archives/edgar/data/1616817/000119312516759086/d264480dex991.htm
0001104659-16-155027,2016-11-07,EarthLink Holdings Corp.,1102541,7370,"WINDSTREAM HOLDINGS, INC.",1282266,4813,telecom,50000000.0,unspecified,368763000.0,500628000.0,866500000.0,2762000000.0,1235263000.0,3262628000.0,1097252000.0,5765300000.0,6862552000.0,2015,2015,$50 million of these synergies,https://www.sec.gov/Archives/edgar/data/1102541/000110465916155027/a16-21203_1ex99d4.htm
0001062613-16-000184,2016-12-05,"Consolidated Communications Holdings, Inc.",1304421,4813,FAIRPOINT COMMUNICATIONS INC,1062613,4813,telecom,55000000.0,unspecified,178227000.0,328400000.0,206046000.0,430308000.0,384273000.0,758708000.0,775737000.0,,,2015,2015,$55MM in annual run-rate synergies,https://www.sec.gov/Archives/edgar/data/1062613/000106261316000184/a12052016cnslfrpinvestor.htm
0000930413-17-000066,2017-01-05,GARTNER INC,749251,8741,CEB Inc.,1066104,8742,professional_services,25000000.0,cost,962677000.0,839076000.0,111842000.0,327257000.0,1074519000.0,1166333000.0,2163056000.0,928434000.0,3091490000.0,2015,2015,$25 million of cost synergies,https://www.sec.gov/Archives/edgar/data/1066104/000093041317000066/c87012_425.htm
0001193125-17-133452,2017-04-24,BECTON DICKINSON & CO,10795,3841,BARD C R INC /NJ/,9892,3841,instruments,300000000.0,cost,3005000000.0,6492000000.0,1101900000.0,1371700000.0,4106900000.0,7863700000.0,12483000000.0,3714000000.0,16197000000.0,2016,2016,"$300 million of estimated annual, pre-tax, run-rate cost synergies",https://www.sec.gov/Archives/edgar/data/10795/000119312517133452/d346468dex997.htm
0001104659-17-043749,2017-07-06,Liberty Interactive Corp,1355096,5961,"HSN, Inc.",1434729,5940,retail,110000000.0,cost,1190000000.0,6908000000.0,193449000.0,2350817000.0,1383449000.0,9258817000.0,,3567485000.0,,2016,2016,$110 million of run rate cost synergies,https://www.sec.gov/Archives/edgar/data/1355096/000110465917043749/a17-10855_8ex99d2.htm
0000950157-17-001051,2017-07-10,CINCINNATI BELL INC,716133,4813,"Hawaiian Telcom Holdco, Inc.",1487986,4899,telecom,21000000.0,unspecified,218700000.0,506400000.0,118420000.0,165835000.0,337120000.0,672235000.0,1185800000.0,392963000.0,1578763000.0,2016,2016,synergies of approximately $21 million,https://www.sec.gov/Archives/edgar/data/716133/000095015717001051/ex99-1.htm
